,0,1,2,3,4,5,6,7,8,9,10,11
0,101,I know.,Ross,0,0,9,4,2,5,"00:02:13,091","00:02:14,758",9_4_train
1,2399,$4.50 please.,Waitress,0,0,241,13,7,22,"0:21:31,707","0:21:46,639",241_13_test
2,2295,You two could really hit it off! I'm gonna go mingle.,Danny,4,1,226,9,5,7,"00:19:08,147","00:19:12,859",226_9_train
3,1992,"Y’know, the charity was a big success and they raised a lot of money and awareness.",Rachel,4,1,199,3,6,19,"00:20:50,290","00:20:54,752",199_3_train
4,666,"It’s a good thing I didn’t do it, because it sounds like it would’ve been a very expensive wedding.  Okay, good night",Ross,0,0,63,16,8,18,"00:20:38,016","00:20:53,407",63_16_dev
5,946,Are you sure he didn't break it because it really hurts?,Monica,0,0,89,3,2,6,"00:12:20,990","00:12:23,408",89_3_dev
6,2758,Why don’t you phase it out?,Monica,0,0,279,9,6,4,"0:14:28,784","0:14:31,818",279_9_test
7,819,I said ',Ross,0,0,76,16,3,1,"0:17:20,831","0:17:22,173",76_16_dev
8,2726,Me too.,Chandler,0,0,273,10,6,23,"00:00:29,696","00:00:32,990",273_10_train
9,7785,"Look at that woman sitting by the pool getting tan... so leathery and wrinkled, I'm so",Rachel,3,2,784,1,9,23,"00:28:19,364","00:28:26,787",784_1_train
10,893,Oh good God! If you want a baby so bad just go steal it!,Monica,6,2,83,0,8,23,"00:10:26,614","00:10:30,117",83_0_dev
11,7947,Can you do that for me?,Monica,0,0,801,2,2,6,"0:10:13,117","0:10:15,871",801_2_train
12,7080,Hey!,Rachel,0,0,700,1,6,1,"0:15:04,153","0:15:04,293",700_1_train
13,5328,I never let her eat.,Monica,0,0,536,11,4,2,"00:08:07,904","00:08:09,654",536_11_train
14,8255,"Hey, hey, hey, that's not the rule and you know it.",Ross,6,2,828,15,1,5,"00:11:32,650","00:11:36,653",828_15_train
15,720,It-it would really help me out if you guys were here to make me look good.,Ross,3,2,68,8,6,21,"00:02:40,910","00:02:45,831",68_8_dev
16,457,That’s okay.,Ross,0,0,41,1,4,16,"00:18:12,966","00:18:14,467",41_1_dev
17,882,"But no, I actually smoke the regular ones all, all the time.",Rachel,0,0,86,6,5,18,"00:09:24,397","00:09:26,898",86_6_train
18,92,"Okay, that’s enough honey!",Chandler,0,0,8,2,6,23,"00:19:25,372","00:19:26,706",8_2_train
19,9348,"Hey, waiter.",Customer,0,0,933,18,6,12,"0:10:50,691","0:10:51,359",933_18_train
20,310,"Oh my God, what happened?",Rachel,1,2,30,0,3,3,"00:16:54,013","00:16:55,680",30_0_test
21,8569,"Oh don’t worry, I’m not really a party girl.",The Potential Roommate,0,0,855,2,6,3,"00:11:20,763","00:11:22,722",855_2_train
22,9905,"Y’know, you’re friend’s getting married, it’s gotta change things.",Phoebe,0,0,988,0,7,21,"00:18:43,705","00:18:47,333",988_0_train
23,3255,Ehh?,Phoebe,1,2,324,1,4,1,"0:00:10,427","0:00:11,614",324_1_train
24,1329,Whoa,Joey,1,1,136,2,8,12,"0:06:33,226","0:06:33,852",136_2_train
25,848,Yeah! Help me get this mini-fridge past the security guard.,Joey,0,0,93,2,6,21,"00:18:51,964","00:18:55,383",93_2_test
26,5815,The whole universe!,Earl,4,1,589,9,7,13,"0:19:29,960","0:19:30,396",589_9_train
27,8987,"Thank you, very much! Oh!  Thank you!",Phoebe,4,1,900,8,3,15,"00:04:26,057","00:04:28,350",900_8_train
28,2307,"Yay, okay!",Phoebe,4,1,233,10,7,10,"0:11:42,827","0:11:43,842",233_10_test
29,8059,"So I got your car, it’s right outside.",Joey,0,0,811,7,7,24,"00:12:54,899","00:12:57,025",811_7_train
30,2106,That’s my wife!!! Get out!,The Dry Cleaner,6,2,211,5,6,22,"00:17:20,372","00:17:22,707",211_5_test
31,4113,"Okay, I can do this.",Joey,0,0,421,1,8,16,"0:13:06,288","0:13:06,590",421_1_train
32,2753,"Uh, Rachel's here, so good luck man, let me know how it works out.",Joey,6,2,275,4,5,11,"00:15:02,026","00:15:05,069",275_4_train
