,0,1,2,3,4,5,6,7,8,9,10,11
0,8299,"So do you think that these pictures—Are, are they trying to tell a story?",Monica,0,0,834,1,6,12,"00:03:47,602","00:03:50,979",834_1_train
1,5672,Honey I swear! I wasn’t looking at her!,Sick Bastard,2,2,572,9,8,23,"0:09:32,644","0:09:36,213",572_9_train
2,7553,I think you're better than you think you are.,Monica,0,0,757,5,5,3,"00:18:49,920","00:18:53,256",757_5_train
3,7733,No! I do want to!,Phoebe,4,1,777,10,6,11,"0:16:04,755","0:16:05,597",777_10_train
4,4347,Really?!,Rachel,1,1,445,7,8,8,"00:08:26,631","00:08:28,298",445_7_train
5,5469,"We already got the results back on that on, and they’re not good.",Receptionist,4,1,549,9,6,17,"00:07:47,592","00:07:51,386",549_9_train
6,433,Hello?  Eighth street deli?,Monica,0,0,40,7,8,4,"00:05:04,095","00:05:06,471",40_7_train
7,4750,Oh my God! How did you get back here?!,Phoebe,1,2,482,0,7,12,"00:18:01,830","00:18:05,583",482_0_train
8,290,"Yeah. Me.  Oh hey, that’s me.  Hey uh, I take it you’re just visiting someone.",Man,0,0,28,11,8,23,"00:13:04,690","00:13:14,657",28_11_test
9,1428,"Man to uh, me.",Chandler,0,0,145,7,5,21,"0:06:14,750","0:06:17,452",145_7_test
10,1886,"Hands down, best Abbey I’ve ever seen.",Joey,4,1,189,2,4,23,"00:06:44,195","00:06:46,780",189_2_test
11,198,My fault?! You threatened the judge!,Ross,6,2,17,3,6,5,"0:15:04,582","0:15:07,079",17_3_dev
12,2361,"Yes, I do have to go to the bathroom.",Chandler,0,0,239,10,3,14,"00:04:41,531","00:04:44,074",239_10_test
13,2686,"Well actually uh, there was something we wanted to tell you about the wedding.",Chandler,0,0,266,0,7,1,"00:12:02,888","00:12:07,684",266_0_train
14,4429,"No, that was my way of telling you.",Phoebe,0,0,450,16,3,23,"00:14:39,128","00:14:41,045",450_16_train
15,4837,"I’m just saying y’know, if we’re having sex, he’s not gonna be talking.",Monica,0,0,493,6,6,23,"00:10:05,938","00:10:09,149",493_6_train
16,10247,Come on!,Phoebe,6,2,1018,13,8,8,"0:17:05,442","0:17:06,307",1018_13_train
17,658,Forgot something else too ya bastard!,Doug,4,1,61,2,3,24,"0:21:27,295","0:21:28,713",61_2_train
18,1758,What the?!,Joey,1,2,178,2,7,18,"00:11:05,081","00:11:07,248",178_2_train
19,134,"But um, I don’t think it’s anything serious.",Joey,0,0,12,7,6,4,"00:10:18,743","00:10:21,536",12_7_train
20,1009,Not at these prices.,Monica,6,2,108,4,3,7,"00:05:01,884","00:05:04,052",108_4_test
21,1745,"So, what’s this about?",Tag,4,1,177,0,8,2,"00:15:57,122","00:15:58,790",177_0_train
22,4260,Look at this clown!,Joey,4,1,436,0,7,3,"00:06:19,045","00:06:20,295",436_0_train
23,473,"Okay, if you need the vacuum, it’s in my closet on the left-hand side. Ah, the garbage bags are next to the refrigerator",Monica,0,0,48,0,4,23,"00:01:58,034","00:02:03,705",48_0_test
24,962,"Oh God, I know I'm a pathetic loser.",Rachel,3,2,90,6,2,1,"00:11:21,347","00:11:24,474",90_6_dev
25,1306,"Hi. Well, look, I was just gonna leave a message, isn’t tonight your, your big anniversary dinner?",Mark,0,0,132,1,3,15,"00:16:10,844","00:16:15,515",132_1_train
26,1292,"Oh no, I know I couldn’t see it either at first, but it’s right umm…  Ross, I lost it again.",Rachel,4,1,131,8,8,3,"00:21:40,882","00:21:48,347",131_8_test
27,7130,It's your timer.,Chandler,0,0,706,3,5,13,"0:00:18,325","0:00:19,409",706_3_train
28,1368,Hi .,Ross,0,0,139,5,6,13,"0:19:00,347","0:19:00,485",139_5_test
29,2262,"Uh, morning. Do you guys think you could close your eyes for just a sec?",Rachel,0,0,230,3,2,1,"00:10:37,011","00:10:41,097",230_3_test
30,7347,"Yes, I suppose I am a dog. But Issac, see I-I happen to have a girlfriend.",Ross,0,0,735,4,3,16,"00:08:51,948","00:08:56,409",735_4_train
31,7299,"I mean it’s bad enough that I’m in love with my roommates girlfriend—which by the way, I think she knows.",Chandler,0,0,728,3,4,7,"00:00:15,765","00:00:19,018",728_3_train
